"claim_id","claim","source_excerpt","my_label"
"q13:verified:5","MoE models offer faster inference times due to their sparse nature, where only a subset of experts is active for each token [1][4].","SOURCE [1] (Mixture of Experts Explained — Hugging Face blog (part 3)):
Let’s dive in!
##    What is a Mixture of Experts (MoE)? 
The scale of a model is one of the most important axes for better model quality. Given a fixed computing budget, training a larger model for fewer steps is better than training a smaller model for more steps. 
Mixture of Experts enable models to be pretrained with far less compute, which means you can dramatically scale up the model or dataset size with the same compute budget as a dense model. In particular, a MoE model should achieve the same quality as its dense counterpart much faster during pretraining. 
So, what exactly is a MoE? In the context of transformer models, a MoE consists of two main elements:
  * **Sparse MoE layers** are used instead of dense feed-forward network (FFN) layers. MoE layers have a certain number of “experts” (e.g. 8), where each expert is a neural network. In practice, the experts are FFNs, but they can also be more complex networks or even a MoE itself, leading to hierarchical MoEs!
  * A **gate network or router** , that determines which tokens are sent to which expert. For example, in the image below, the token “More” is sent to the second expert, and the token ""Parameters” is sent to the first network. As we’ll explore later, we can send a token to more than one expert. How to route a token to an expert is one of the big decisions when working with MoEs - the router is composed of learned parameters and is pretra","unsupported"
"q17:raw:9","Techniques such as PagedAttention in vLLM help reduce memory fragmentation, allowing for larger batch sizes and more efficient GPU utilization [4].","SOURCE [4] (Efficient Memory Management for LLM Serving with PagedAttention — arXiv):
Efficient Memory Management for Large Language Model Serving with PagedAttention
Authors:Woosuk Kwon, Zhuohan Li, Siyuan Zhuang, Ying Sheng, Lianmin Zheng, Cody Hao Yu, Joseph E. Gonzalez, Hao Zhang, Ion Stoica
View a PDF of the paper titled Efficient Memory Management for Large Language Model Serving with PagedAttention, by Woosuk Kwon and 8 other authors
View PDF
> Abstract:High throughput serving of large language models (LLMs) requires batching sufficiently many requests at a time. However, existing systems struggle because the key-value cache (KV cache) memory for each request is huge and grows and shrinks dynamically. When managed inefficiently, this memory can be significantly wasted by fragmentation and redundant duplication, limiting the batch size. To address this problem, we propose PagedAttention, an attention algorithm inspired by the classical virtual memory and paging techniques in operating systems. On top of it, we build vLLM, an LLM serving system that achieves (1) near-zero waste in KV cache memory and (2) flexible sharing of KV cache within and across requests to further reduce memory usage. Our evaluations show that vLLM improves the throughput of popular LLMs by 2-4× with the same level of latency compared to the state-of-the-art systems, such as FasterTransformer and Orca. The improvement is more pronounced with longer sequences, larger models, and more complex decodin","partial"
"q02:verified:1","For instance, it can take images as input and respond with text or code (Sources [5], [6]).","SOURCE [5] (GPT-4 — Wikipedia (part 1)):
|  
OpenAI introduced the first GPT model (GPT-1) in 2018, publishing a paper called ""Improving Language Understanding by Generative Pre-Training"",[[7]]( which was based on the transformer architecture and trained on a large corpus of books.[[8]]( The next year, they introduced GPT-2, a larger model that could generate coherent text.[[9]]( In 2020, they introduced GPT-3, a model with over 100 times as many parameters as GPT-2.[[10]]( GPT-3 was further improved into GPT-3.5, which was used to create the chatbot product ChatGPT. 
## Capabilities
[edit]
GPT-4 was released on March 14, 2023.[[1]]( The default version had a 8K context window, with a special version in the API supporting up to 32K tokens.[[11]]( Unlike its predecessors, GPT-4 is a multimodal model: it can take images as well as text as input.[[12]]( It can now interact with users through spoken words and respond to images, allowing the ability to provide suggestions or answers based on photo uploads.[[13]](
GPT-4 can be prompted to interact with external interfaces. For example, the model could be told to enclose a query within `<search></search>` tags to perform a web search, the result of which would be inserted into the model's prompt to allow it to form a response. This allows the model to perform tasks beyond its normal text-prediction capabilities, such as using APIs, generating images, and accessing and summarizing webpages.[[14]](
A 2023 article in _Nature ""Nature \(","supported"
"q19:raw:1","The core idea behind PagedAttention is to partition the KV cache into logical blocks that are mapped to physical memory spaces in a non-contiguous manner [1][2].","SOURCE [1] (vLLM: Easy, Fast, and Cheap LLM Serving — vLLM blog (part 2)):
To address this problem, we introduce **PagedAttention** , an attention algorithm inspired by the classic idea of virtual memory and paging in operating systems. Unlike the traditional attention algorithms, PagedAttention allows storing continuous keys and values in non-contiguous memory space. Specifically, PagedAttention partitions the KV cache of each sequence into blocks, each block containing the keys and values for a fixed number of tokens. During the attention computation, the PagedAttention kernel identifies and fetches these blocks efficiently.
  
_PagedAttention:_ KV Cache are partitioned into blocks. Blocks do not need to be contiguous in memory space.
Because the blocks do not need to be contiguous in memory, we can manage the keys and values in a more flexible way as in OS’s virtual memory: one can think of blocks as pages, tokens as bytes, and sequences as processes. The contiguous _logical blocks_ of a sequence are mapped to non-contiguous _physical blocks_ via a block table. The physical blocks are allocated on demand as new tokens are generated.
  
Example generation process for a request with PagedAttention.
In PagedAttention, memory waste only happens in the last block of a sequence. In practice, this results in near-optimal memory usage, with a mere waste of under 4%. This boost in memory efficiency proves highly beneficial: It allows the system to batch more sequences together, inc","supported"
"q15:raw:6","**Model-Specific NIMs**: Include a model-specific manifest, curated weights, and optimal runtime configurations tailored to specific models like Llama 3 [1].","SOURCE [1] (NIM for LLMs: introduction — NVIDIA docs (part 1)):
Is this page helpful?
# Overview#
NVIDIA NIM for Large Language Models (NIM LLM) is a production-ready way to run large language models with NVIDIA inference microservices (NIMs). NIM LLM brings state-of-the-art LLM serving to enterprise and developer workflows with validated containers, curated weights, and direct alignment with upstream inference engines.
NIM LLM is designed for teams that do not have the bandwidth to track the fast-moving LLM ecosystem. Depending on the offering, it can prioritize rapid access to newly released models, validated best-in-class performance, or enterprise lifecycle guarantees for long-term production deployments.
## NIM Offerings#
NIM LLM is available under two NIM offerings so you can choose the right balance of publication speed, peak performance, and enterprise lifecycle guarantees:
  * **NIM Day 0:** Fast access to newly released models with functional validation on a smaller set of NVIDIA GPUs.
  * **NIM Certified:** Enterprise production packaging with broader compatibility, documented refresh cadence, CVE patching, OSRB compliance, security updates, FedRAMP ready branches for government use cases, and NVIDIA AI Enterprise support.

For more information, refer to NIM Offerings.
## Key Benefits#
NIM LLM aligns with upstream engines and eliminates heavy downstream abstraction layers to provide the following benefits:
  * **Faster Feature Access:** You receive updates in weeks","unsupported"
"q17:raw:7","8x throughput improvement compared to Hugging Face’s text-generation-inference and Ray Serve [2].","SOURCE [2] (Continuous batching in LLM inference — Anyscale blog (part 6)):
Our continuous batching frameworks are:
  * **_Hugging Face’s text-generation-inference_****.** This is the inference server Hugging Face uses to power their LLM live-inference APIs. It _implements_ continuous batching.
  * _**Continuous batching on Ray Serve**_**.** _Ray Serve_ leverages Ray’s serverless capabilities to provide seamless autoscaling, high-availability, and support for complex DAGs. We wanted to understand how continuous batching works, so we re-implemented text-generation-inference’s core continuous batching logic in pure-Python on Ray Serve. As you will see in our results, our implementation achieves the same performance as text-generation-inference, which validates our understanding.
  * **_vLLM_****.** This is an open-source project recently released by folks at UC Berkeley (_GitHub_). It builds upon Orca’s continuous batching design by taking full control of dynamic memory allocations, allowing it to significantly reduce different forms of GPU memory fragmentation. We test this framework because it shows the impact of further optimizations made possible by iteration-level scheduling and continuous batching.","partial"
"q02:verified:5","These issues were attributed to the model’s context length limitations (Source [2]).","SOURCE [2] (GPT-4 — Wikipedia (part 2)):
## Reception
[edit]
In January 2023, Sam Altman, CEO of OpenAI, visited Congress to demonstrate GPT-4 and its improved ""security controls"" compared to other AI models, according to U.S. Representatives Don Beyer and Ted Lieu quoted in _The New York Times_.[[61]](
In March 2023, it ""impressed observers with its markedly improved performance across reasoning, retention, and coding"", according to _Vox ""Vox \(website\)"")_ ,[[62]]( while _Mashable_ judged that GPT-4 was generally an improvement over its predecessor, with some exceptions.[[63]](
Microsoft researchers with early access to the model wrote that ""it could reasonably be viewed as an early (yet still incomplete) version of an artificial general intelligence (AGI) system"".[[14]](
### Concerns
[edit]
Before being fine-tuned ""Fine-tuning \(machine learning\)"") and aligned by reinforcement learning from human feedback (RLHF), suggestions to assassinate people on a list were elicited from the base model by a red team investigator hired by OpenAI, Nathan Labenz.[[64]](
During extended conversations with Microsoft's Bing Chat (powered by GPT-4), Kevin Roose documented the system making romantic advances, suggesting he divorce his wife, and expressing desires to harm one of its developers.[[65]]( Microsoft later stated that this behavior resulted from the prolonged length of context, which confused the model on what questions it was answering.[[67]](
In March 2023, a model with enabled re","partial"
"q02:raw:2","**Ethical Alignment**: Claude is developed using ""constitutional AI"" to improve ethical compliance, whereas GPT-4's development does not explicitly mention such a technique (Source [1], Source [3]).","SOURCE [1] (Claude (language model) — Wikipedia):
|  
| License  | Proprietary  |  
| Website  |  claude.ai   |  
**Claude** is a series of large language models developed by American software company Anthropic. Claude was released as an AI-based chatbot in March 2023. It is also used in AI-assisted software development.
Claude is trained using ""constitutional AI"", a technique developed by Anthropic to improve ethical and legal compliance (AI alignment). Since Claude 3, each generation has typically been released in three sizes, from least to most capable: Haiku, Sonnet, and Opus. An additional model named Claude Mythos was released to a handful of companies in 2026.
US federal agencies started phasing out the use of Claude after Anthropic refused to remove contractual prohibitions on the use of Claude for mass domestic surveillance and fully-autonomous weapons.[[1]]( Following the refusal, the Department of Defense (DoD) designated the company a ""supply chain risk"" and barred all U.S. private military contractors, suppliers, and partners from doing business with the firm. On March 26, 2026, a federal judge issued a temporary injunction against the DoD's designation.[[3]](
## Products
[edit source&action=edit&section=1 ""Edit section's source code: Products"")]
### Claude
[edit source&action=edit&section=2 ""Edit section's source code: Claude"")]
Claude is an AI chatbot similar to ChatGPT, capable of writing, coding, conducting research, and having conversations. In June 2024, An","partial"
"q04:raw:4","This technique is particularly useful for training and inference workflows that require more memory than available on a single device [1].","SOURCE [1] (Mastering LLM Techniques: Inference Optimization — NVIDIA Developer Blog (part 4)):
Managing this KV cache efficiently is a challenging endeavor. Growing linearly with batch size and sequence length, the memory requirement can quickly scale. Consequently, it limits the throughput that can be served, and poses challenges for long-context inputs. This is the motivation behind several optimizations featured in this post.
## Scaling up LLMs with model parallelization
One way to reduce the per-device memory footprint of the model weights is to distribute the model over several GPUs. Spreading the memory and compute footprint enables running larger models, or larger batches of inputs. Model parallelization is a necessity to train or infer on a model requiring more memory than available on a single device, and to make training times and inference measures (latency or throughput) suitable for certain use cases. There are several ways of parallelizing the model based on how the model weights are split. 
Note that data parallelism is also a technique often mentioned in the same context as the others listed below. In this, weights of the model are copied over multiple devices, and the (global) batch size of inputs is sharded across each of the devices into microbatches. It reduces the overall execution time by processing larger batches. However, it is a training time optimization that is less relevant during inference.
Note that any model-parallel techniques—including pipeli","supported"
"q03:raw:3","NVIDIA Dynamo Planner continuously monitors GPU capacity metrics in distributed inference environments (Source [1]).","SOURCE [1] (Introducing NVIDIA Dynamo — NVIDIA Developer Blog (part 4)):
__Figure 3. NVIDIA Dynamo architecture__
## NVIDIA Dynamo Planner: Optimizing GPU resources for distributed inference 
In large-scale distributed and disaggregated-serving inference systems, efficiently managing GPU resources is essential to maximize throughput and minimize latency. While disaggregated serving can significantly enhance inference throughput and efficiency, it might not always be the most effective solution for every incoming request. 
Imagine a scenario where a surge of summarization requests with long input sequence lengths (ISLs) but short output sequence lengths (OSLs) overwhelms the prefill GPUs. While the decode GPUs remain underutilized, the prefill GPUs become a bottleneck. In this case, allowing decode GPUs to perform both prefill and decode tasks in a traditional aggregated manner, or shifting decode GPUs to perform prefill tasks, might be more efficient. This approach can help balance the load, alleviate pressure on the prefill GPUs, and ultimately improve overall throughput.
Deciding between disaggregated and aggregated serving or how many GPUs should be assigned to each phase requires careful consideration of several factors. These factors include the time needed to transfer the KV cache between the prefill and decode GPUs, the GPUs’ queue wait times for incoming requests, and the estimated processing times for both disaggregated and aggregated configurations. In large-scale e","supported"
"q17:raw:1","**Memory Management**: Techniques like PagedAttention in vLLM reduce memory fragmentation, allowing for more efficient use of GPU resources and higher batch sizes [4].","SOURCE [4] (Efficient Memory Management for LLM Serving with PagedAttention — arXiv):
Efficient Memory Management for Large Language Model Serving with PagedAttention
Authors:Woosuk Kwon, Zhuohan Li, Siyuan Zhuang, Ying Sheng, Lianmin Zheng, Cody Hao Yu, Joseph E. Gonzalez, Hao Zhang, Ion Stoica
View a PDF of the paper titled Efficient Memory Management for Large Language Model Serving with PagedAttention, by Woosuk Kwon and 8 other authors
View PDF
> Abstract:High throughput serving of large language models (LLMs) requires batching sufficiently many requests at a time. However, existing systems struggle because the key-value cache (KV cache) memory for each request is huge and grows and shrinks dynamically. When managed inefficiently, this memory can be significantly wasted by fragmentation and redundant duplication, limiting the batch size. To address this problem, we propose PagedAttention, an attention algorithm inspired by the classical virtual memory and paging techniques in operating systems. On top of it, we build vLLM, an LLM serving system that achieves (1) near-zero waste in KV cache memory and (2) flexible sharing of KV cache within and across requests to further reduce memory usage. Our evaluations show that vLLM improves the throughput of popular LLMs by 2-4× with the same level of latency compared to the state-of-the-art systems, such as FasterTransformer and Orca. The improvement is more pronounced with longer sequences, larger models, and more complex decodin","partial"
"q04:verified:6","**StaticCache**: Pre-allocates a fixed maximum cache size, enabling efficient just-in-time optimizations but potentially leading to token wastage in attention computation [6].","SOURCE [6] (KV cache strategies — Hugging Face Transformers docs (part 3)):
##   Fixed-size cache
The default DynamicCache prevents you from taking advantage of most just-in-time (JIT) optimizations because the cache size isn’t fixed. JIT optimizations enable you to minimize latency at the expense of memory usage. All of the following cache types are compatible with JIT optimizations like torch.compile to accelerate generation.
A fixed-size cache (StaticCache) pre-allocates a specific maximum cache size for the kv pairs. You can generate up to the maximum cache size without needing to modify it. However, having a fixed (usually large) size for the key/value states means that while generating, a lot of tokens will actually be masked as they should not take part in the attention. So this trick allows to easily `compile` the decoding stage, but it incurs a waste of tokens in the attention computation. As all things, it’s then a trade-off which should be very good if you generate with several sequence of more or less the same lengths, but may be sub-optimal if you have for example 1 very large sequence, and then only short sequences (as the fix cache size would be large, a lot would be wasted for the short sequences). Make sure you understand the impact if you use it!
As for DynamicCache, note that for models using sliding window attention (Mistral, Gemma2,…) or chunked attention (Llama4), the cache will never be larger than the sliding window/chunk size on layers using these typ","supported"
"q06:raw:3","Efficient management of the KV cache is critical for LLM inference due to its significant memory footprint [3][4].","SOURCE [3] (Mastering LLM Techniques: Inference Optimization — NVIDIA Developer Blog (part 2)):
AI-generated content may summarize information incompletely. Verify important information. Learn more
Stacking transformer layers to create large models results in better accuracies, few-shot learning capabilities, and even near-human emergent abilities on a wide range of language tasks. These foundation models are expensive to train, and they can be memory- and compute-intensive during inference (a recurring cost). The most popular large language models (LLMs) today can reach tens to hundreds of billions of parameters in size and, depending on the use case, may require ingesting long inputs (or contexts), which can also add expense. For example, retrieval-augmented generation (RAG) pipelines require putting large amounts of information into the input of the model, greatly increasing the amount of processing work the LLM has to do.
This post discusses the most pressing challenges in LLM inference, along with some practical solutions. Readers should have a basic understanding of transformer architecture and the attention mechanism in general. 
Developers can also explore these inference optimization techniques using open NVIDIA and community models—such as the Nemotron 3 family of open models—running on the open-source TensorRT-LLM library, available on GitHub. This makes it possible to experiment with real-world inference tradeoffs using production-grade code rather than abstract e","partial"
"q16:verified:3","Techniques like FlashAttention minimize memory movement costs, improving performance [1].","SOURCE [1] (Mastering LLM Techniques: Inference Optimization — NVIDIA Developer Blog (part 1)):
DEVELOPER
  * Home
  * Blog
  * Forums
  * Docs
  * Downloads
  * Training

*   *  Join 
  *

Technical Blog
 Subscribe 
 Related Resources 
Agentic AI / Generative AI
English 日本語
# Mastering LLM Techniques: Inference Optimization

Nov 17, 2023 
By Shashank Verma and Neal Vaidya
+327
Like 
 Discuss (0) 
  * L
  * T
  * F
  * R
  * E

AI-Generated Summary
Like
Dislike
  * Large language models (LLMs) are memory- and compute-intensive during inference, with costs associated with processing long inputs or contexts, such as in retrieval-augmented generation (RAG) pipelines.
  * The LLM inference process involves two phases: the prefill phase, which processes input tokens in a highly parallelized manner, and the decode phase, which generates output tokens autoregressively one at a time, underutilizing GPU compute ability.
  * Key-value (KV) caching is a common optimization for the decode phase, caching intermediate states to avoid recomputation, but it can lead to memory issues, especially with large batch sizes or sequence lengths.
  * Model parallelization techniques, such as pipeline parallelism, tensor parallelism, and sequence parallelism, can reduce the per-device memory footprint of LLMs, enabling larger models or batches to be processed.
  * Optimizations to the attention mechanism, including multi-query attention (MQA) and grouped-query attention (GQA), reduce memory required b","unsupported"
